,name,mark,path,text
0,AAl_13_1,best,./data/exam2014/AAl_13_1,"The presented data shows us the percentage of people aged 65 and over in three different countries (USA, Sweden and Japan) in the second half of the 20th century and up to 2040. But what factory make the figures so varied?
First of all, it is the average length of life. Japan is well-known for its long-living people , and that is why the proportion of them is expected to excud 25% by 2040. However, the economic situation has not always been so brilliant , moreover, it was much worse there then in Europe and America , so the number was relatively low until the expected acute rise in 2030. Also, that is due to the fact that more children are born in Japan , and as a result, they take up some 'space' in the generations division. 
Secondly, it is social policy that afects the quality of life. After the introduction of state insurance and pensions both in the USA and Sweden , more elderly people were able to afford suitable medical treatment, housing or other benefits. Another option is the decline in the number of children per family. More and more young people decline to start a family later anf have only 1 or 2 offsprings , and this tendency will certainly bring about the growth of the proportion of the elderly people, as those born in 1975 are 65 years old by 2040.
To draw a conclusion, we may say that not only social or economic tendencies , but also government policies might cause certain changes in social proportions , consequently, these policies and tendencies should be accurately governed.
"
1,AAl_27_1,best,./data/exam2014/AAl_27_1,"The graph provides data about the percentage of group of people 65 years old and over. It demonstrates a change of this proportion from 1940 to 2040 in Japan, Sweden and USA.
It's clear from the graph that in every compacative country the quantity of people 65 years old and over would increase from 5%-10% in 1940 to 25% approximately in 2040. However, the ways of growing are different. The percentage of population aged 65 and over in USA is guaducelly increasing during this 100 years like in Sweden. By contrast , Japan's group of people 65 years old and over had been decreasing from 1940 to 1983 approximately, then it began to rise slightly and in 2030 there would be drammatic increase from 10% to 25%. In USA and Sweden there were periods of decline too - from 1980 to 1990 and from 1980 to 2014 respectively. Moreover, next period of decrease of population aged 65 and over is expected in USA in 2015.
As a result of change Japan will be the oldest country in 2040, then Sweden and USA respectively. It means that Japan will be in risk of demography problems.
"
2,AAl_30_1,best,./data/exam2014/AAl_30_1,"The diagram presents a number of people after 65 years old in percentage from number of all people. The indicators are devided on 3 groups with countries: Japan, Sweden and USA, and shows changes in the 100 year period from 1940 to 2040.
The population aged 65 and over from Japan was only 5 percent in 1940. Then there was slightly decrease for 20 years period and it was a constant next 20 years . After 1980 it become to increase slightly. According to graph this increase will be continued and in 2030 will go up dramatically to 25 percent.
In Sweden the number of people in 1940 was about 7 percent. Between 1940 and 1980 this number was increasing. After that there was slight fall and than sharp rise. The same situation will be between 2010 and 2040. The numbers will reach almost 25 percent.
In the USA there were almost 10 percent aged people in 1940. Between 1940 and 1980 it was a little more than in Sweden . After 1980 the indicators were stable and after 2020 will rise to 23 percent in 2040.
To sum up, it can be seen from the graph, the number of people aged 65 and over increase and will reach the number nearly 25 percent to 2040 in all countries.
"
3,ZEv_3_1,best,./data/exam2014/ZEv_3_1,"The charts provide information about travelling abroad by Englishmen and visits to the UK by foreigners from 1979 to 1999 as well as the most popular countries which UK residents went to in 1999.
	Due to the charts, UK residents travelled to the other countries more than overseas residents visited UK. Moreover, there were two most visited countries by the English which were Spain and France.
To look more precisely at the first chart, there was slight difference between numbers of UK travelers and foreign travelers in 1979, which accounted approximately 13 millions and 10 millions respectively. This difference had increased substantially by 1999, making up to 28 millions and 54 millions respectively.
Due to the information about the most preferred countries by the English in 1999, the most popular ones were France and Spain which are visited by 11 millions and 8 millions people. USA was the third most visited country (roughly 4 million of people), while Greece and Turkey were the forth and fifth ones (3 millions and 2 millions respectively).
Overall, the UK residents were more active travelers than foreigners in the UK in period between 1979 and 1999.
"
4,EEm_14_1,best,./data/exam2014/EEm_14_1,"The given graph depicts the changes in the percentages of the people aged 65 and over in the time period between 1940 and 2040 in three countries.

The first visible trend can be found if we compare the growth dynamics of elderly population in Sweden and USA. In 1940 the percentage of these people in USA was close to 10% while in Sweden it was about 7%. From then on the figures of these countries grew steadily until 1995. In that year the percentage of population aged aged 65 and over rocketed in Sweden hitting the maximum point of 20% while the same trend stayed in USA. It is predicted that their percentages will narrow in the 2020’s but the USA will not be able to keep up with Sweden.

Up until the early 2000’s the percentage of elderly people in Japan was fluctuating, falling to the lowest point between 1960 and 1980. But then it grew steadily and it is highly possible that it will rise sharply up to more than 25% in 2040.

Overall it is clear that while Sweden and USA share the same trend features, Japan, after the years of low percentage rates, will catch up on other countries.
"
5,EEm_16_1,best,./data/exam2014/EEm_16_1,"The graph represents the share of the elderly people in three countries: Japan, Sweden and USA over the period between 1940 and 2040.

In Japan, the proportion of elderly people is the lowest out of three countries and stays under 5% up until the beginning of the 2000s. However, there is an upward trend since the end of the 1990s. In 2030 the procentage line goes up almost vertically and reaches the maximum of roughly 27% by 2040.

The USA and Sweden rising trends are similar with insignificant differences until the end of the 1990s. The rate of the increase changes by approaching the new century. The USA figures grow slowly and steadily after 2020 with the «plato» period of 20 years before that. Sweden people aged 65 and over experience a sharper increase with dramatic fluctuations, joining the consequential rise after 2020.

The overall tendency is the increase of the number of the elderly people to the population of the country in general. In Sweden and USA the original proportion of the elderly people doubles, while the Japan figure rises in 5 times.
"
6,KKo_9_1,best,./data/exam2014/KKo_9_1,"The given pie charts provide the information on the percentage of differently aged people in Yemen and Italy for 2000 and the prediction of how this percentage will change in 2050.
First, let’s take a look at the ages of population of both countries in 2000. Almost a half of Yemens population is taken over by the children from 0 to 14 years, while this age group in Italy covers only 14%. The other half of Yemens population consists of 46% of adults and only 4% of elderly people. However, in Italy adults present the biggest part in population – almost 62%. And the elder part is not small too.
Then, looking at 2050 pie charts for both countries, we can see that the elder population in Yemen will not increase much, while in Italy there will be almost twice more elders. The number of people aged 0-14 years in Yemen will considerably decrease, leaving place for adult population, which will grow up by 11%.
To sum up, we can clearly see that Yemen has tendency to have more young population, while Italy has more representatives of elder age groups. And in 50 years the ages of population of both countries will change consequently.
"
7,KKo_24_1,best,./data/exam2014/KKo_24_1,"The chart shows the information about total minutes (in billions) of telephone calls in the United Kingdom from 1995-2002 divided into three categories: local and national/international fixed line and mobile calls. We can see from the chart that local calls are the most popular and mobile calls are less popular throughout the period, but the situation tend to change, as mobile calls, having relatively low numbers at the beginning of the period from 1995 to 2000 rapidly become much popular during 2000s. with almost 10 times more minutes of calls in 2002 than in 1995. National and international calls have a steady increase in the number of call minutes throughout the period, paining about 2-5 billions a year. Local fixed line calls had a peak in 1999, steadily rising until this year and starting to lose positions at almost the same rate after.
In general, we can see an increase in total number of call minutes, and mobile calls have became significantly more popular in 2002 than in 1995, while other types of calls have ether a relatively moderate increase, as national/international telephone calls, or maintaining almost the same number of minutes in 2002 as in 1995 (local fixed line calls).
"
8,ASt_21_1,best,./data/exam2014/ASt_21_1,"The table provides data concerning underground railway system of six cities. The description of each includes information about the date it was opened, how log is its rowte and kilometers and, also, how often people use it during a period of a year. The last one is given as passengers per year and it is counted in millions of people.
From the table we see that, out of six cities, London was the first to have its own underground railway system. It was opened in 1863 and now it is also the one with the longest route, which counts up to 394 kilometers of tracks. However, it's passenger density is not the biggest and it is less than half of the same parameter of Tokyo, where the number of passengers per year reaches 1927 millions. This is despite the fact, that there length of route sums up to only 155 kilometers.
The city of Koyoto seems to be an outsider it this comparison, as it has only 11 kilometers of tracks and, on average, no more than 45 million passengers of this means of transport between European countries and United States of America.
"
9,ASt_34_1,best,./data/exam2014/ASt_34_1,"This table shows the information about subway systems in six different cities. Overall, London Underground railway system is the oldest and longest one while the system of Koyoto city is the shortest and the most unpopular to use.
It is notable to see that the majority of these underground railway system opened in a previous century except the subway systems in London (XIX century) and Los Angeles (XXI century). The length of these systems in Paris, Tokyo and Washington DC fluctuates from 100 to 200 kilometres while the longest route is situated in London (394 kilometres). However, the system of Koyoto and Los Angeles are really short. Moreover, the underground railway system of Tokyo is the busiest one because 1927 million of passengers visit it every year. The metro in Paris has a high rate of passengers per year too. On the contrary, Koyoto and Los Angeles subway systems are modern and not so popular to use: 45 and 50 million of passengers each year.
"
10,12_1,best,./data/best_works/12_1,"The line graph illustrates the figures in global smartphone sales of four different brends between 2010 and 2015. The overall trend of Apple profits is obviously upward, while Blackberry and HTC shows the downward trend. Moreover Samsung`s rate trends to be downward too regardless some eratic movements. 
The percentage share of Apple profits dramaticly increases from 2010 to 2012, starting at the level of 40% and reaching 70%. After a slight fall in 2013 down to 60%, it markably goes up again through the rest of the period. Similarly to this, Samsung`s rate of profits gradually rises over the first three years from the amount of approximately 15%, hitting a pick of about 43% in 2013, and significantly drops at the second part of the period, on the level of less than 15%. 
As or numbers, referring to Blackberry and HTC profits, they start in the region of 10%, show some fluctuations and have a slow but steady decline through the next couple years. Both these brends reach about 5% by the end of the period.
"
11,13_1,best,./data/best_works/13_1,"The given charts presents information on the number of boys and girls from different regions without access to primary school in 2000 and 2012.
Generally speaking, the total amount of such children decreased in every region. Still, Africa has the highest rates in 2012, as well as in 2000. Also it is noticeable that in both years there were more girls without access to primary school then boys, despite the fact that in 2012 everywhere but in Africa the situation was the opposite (more boys without such access). The most dramatic changes took place in South Asia, where the number of these children fell down by more then 3 times form 32,7 millions to 9,9 which is the lowest rate in 2012. What is interesting, the number of girls dropped by nearly 4,5 times, whereas the number of boys declined only by 50 per cent. But this is still not enough to change the situation where boys is general have more opportunities in case of primary education.
All in all, the global trend gives a hope that there will be more children with access to primary schools in the future worldwide.
"
12,AAl_2_2,best,./data/exam2014/AAl_2_2,"Due to the principles of the International law there could not be any discrimination. So, males and females have equal rights nowadays in all spheares of life. This rule also concerns educational process their all people have a right to have an education, besides, they are free to choose any subject they want. Moreover, is it appropriate for universities to accept  males and females in every subject equaly?
First of all, if we speak of equality of men and women we should make a notice that this also mean that women could not do some work which is not suit them (take heavy things). In other ways it is known that females can choose freely their profession. Secondly, we can easily think of jobs which will be more priority for males such as military professions.
What is the goal of setting the rule when universities accept equal numbers of male and female students in every subject? Will it really provide equality? It is set by the laws that everyone has an opportunity to study the subject he prefers. This rule is enough for the realisation of the principle mentioned above.
Another factor which may be set against that rule is a different propostion of population of males and females in the country. It would be hard to reach equal numbers because women simply can be more than men or overwise, so this argument makes that rule almost impossible.
Of course universities may try to bistribute makes and females during educational process in different groups equaly and that probably will bring positive result. 
To sum up, everyone both males and females has a right and opportunity to choose their profession and study in a place they want. It will not be appropriate for university workers trying to choose students by the criteria of equality of males and females instead of professional qualities and knowledge, which may have every person. 
"
13,AAl_13_2,best,./data/exam2014/AAl_13_2,"The question of gender equality in all spheres of social life has become very hotly discussed in the resent decades. One of the most important factors that constitute a future professional 'profile' of every individual is, of course, higher education. Providing society with strictly similar numbers of male and female graduates in each subject would certainly change the labour market as well as academic world. But will these changes be for the better - or for the worse?
The first point to fear in mind is that nowadays students are accepted on the basis of their performance during entrance examinations. That means: only previous qualifications and / or knowledge of each applicant is taken into consideration. Is it fair to give preferences to this or that young person because of their race, religion or gender? No, this will mean discrimination , and that is the inevitable consequence of 'gender-based' intake of students.
Extremely alike reform has been carried out in Germany. The universities are obliged to hold different entrance lists for man and women with different entrance marks. As a result, it may be easier for a male to gain acceptance to a medical school (with 1.3 entrance mark in comparison with female 1.1). I do not think that is 'fairness' in the proper sense of this word.
The only aspiration of this reform I agree with is the feeling that certain fields of science or work are traditionally 'male' or 'female'. Although I don't believe that 'maxing' of sexes should be caused by such a radical method , I think that young girls and boys should be encouraged to take up any profession they are into, no matter if it is supposed to be men- or women-only occupation. 
"
14,AAl_26_2,best,./data/exam2014/AAl_26_2,"Today there is a great number of discussions about male/female relationships. One of them is should male and female students work together and even more - in equal numbers. Some people lelieve that it's inappropriate , to make universities accept equal numbers of male/female students, others agree that it will improve current situation in education. 
There exist strong arguments of both sides of this disscussion, which implies that it is worth examining all points of view before reaching any conclusion. 
First of all, there is a necesity to say that one of the advantages of these type of accepting students is the equallity between men and women. Equall numbers mean equall opportunities for people, without discrimination sexes. Moreover, there is a plenty of scientist's researchs convincing that working between male and female groups of people in equall proportions gives a much more favor. Also, this type of proportion helps members of each group interact with others easily, that when there is a disproportion.
Another point of view is that such type of accepting students is useless and pointless. Supporters claim that such thing can destroy the real competition between students, which is based on knowledge, not on female / male you are or not.
Another drawback of equall accepting numbers is that it can crushed all system of university's academic freedom - government will give concrete numbers of students , who schould study in universities. And one of the most convincing arguments againts equall proportions between male/female students is that there is no any correlation or connection between knowledge and which sex do you have. And I am firmly believe in that. Since the Medievel times, people fight against discrimination, for modern society with equall rights for everybody. And for the first time, this meosure for accepting equall numbers of students seems like justice, lut it is not real suitable criteria for competition between students. There is no shame if men are good at law and women in teaching as there is no any discrimination between them in case of disproportion.
Considering all arguments , it can be concluded that the idea of universities accepting equal number of male / female students is not good of all.
"
